Date,AAPL,AMZN,GOOGL,MSFT,TSLA,^GSPC
2024-04-02,167.16326904296875,180.69000244140625,153.29302978515625,414.17218017578125,166.6300048828125,5205.81005859375
2024-04-03,167.96519470214844,182.41000366210938,153.65008544921875,413.1992492675781,168.3800048828125,5211.490234375
2024-04-04,167.14346313476562,180.0,149.29608154296875,410.6735534667969,171.11000061035156,5147.2099609375
2024-04-05,167.89593505859375,185.07000732421875,151.24993896484375,418.1817932128906,164.89999389648438,5204.33984375
2024-04-08,166.77713012695312,185.19000244140625,153.58067321777344,417.2678527832031,172.97999572753906,5202.39013671875
2024-04-09,167.98500061035156,185.6699981689453,155.31629943847656,418.9287109375,176.8800048828125,5209.91015625
2024-04-10,166.11378479003906,185.9499969482422,154.86009216308594,415.9607849121094,171.75999450683594,5160.64013671875
2024-04-11,173.3016815185547,189.0500030517578,158.10328674316406,420.5502624511719,174.60000610351562,5199.06005859375
2024-04-12,174.7967071533203,186.1300048828125,156.43704223632812,414.62420654296875,171.0500030517578,5123.41015625
2024-04-15,170.9750213623047,183.6199951171875,153.590576171875,406.5067443847656,161.47999572753906,5061.81982421875
2024-04-16,167.69790649414062,183.32000732421875,153.13433837890625,407.43048095703125,157.11000061035156,5051.41015625
2024-04-17,166.3315887451172,181.27999877929688,154.19557189941406,404.7376708984375,155.4499969482422,5022.2099609375
2024-04-18,165.38113403320312,179.22000122070312,154.73110961914062,397.2982177734375,149.92999267578125,5011.1201171875
2024-04-19,163.36138916015625,174.6300048828125,152.826904296875,392.237060546875,147.0500030517578,4967.22998046875
2024-04-22,164.19305419921875,177.22999572753906,154.99893188476562,394.0453796386719,142.0500030517578,5010.60009765625
2024-04-23,165.2425079345703,179.5399932861328,156.9626922607422,400.5413818359375,144.67999267578125,5070.5498046875
2024-04-24,167.34149169921875,176.58999633789062,157.82559204101562,402.0056457519531,162.1300048828125,5071.6298828125
2024-04-25,168.20285034179688,173.6699981689453,154.72122192382812,392.1584777832031,170.17999267578125,5048.419921875
2024-04-26,167.6186981201172,179.6199951171875,170.54049682617188,399.31292724609375,168.2899932861328,5099.9599609375
2024-04-29,171.77696228027344,180.9600067138672,164.78802490234375,395.3131103515625,194.0500030517578,5116.169921875
2024-04-30,168.63848876953125,175.0,161.4456329345703,382.6158752441406,183.27999877929688,5035.68994140625
2024-05-01,167.6186981201172,179.0,162.51678466796875,388.1291809082031,179.99000549316406,5018.39013671875
2024-05-02,171.31166076660156,184.72000122070312,165.25418090820312,390.9790954589844,180.00999450683594,5064.2001953125
2024-05-03,181.5588836669922,186.2100067138672,165.8690948486328,399.64703369140625,181.19000244140625,5127.7900390625
2024-05-06,179.9054718017578,188.6999969482422,166.72206115722656,406.40838623046875,184.75999450683594,5180.740234375
2024-05-07,180.58860778808594,188.75999450683594,169.84622192382812,402.28082275390625,177.80999755859375,5187.7001953125
2024-05-08,180.9252166748047,188.0,167.99154663085938,403.46014404296875,174.72000122070312,5187.669921875
2024-05-09,182.73704528808594,189.5,168.56680297851562,405.2094421386719,171.97000122070312,5214.080078125
2024-05-10,181.47793579101562,187.47999572753906,167.2675323486328,407.58770751953125,168.47000122070312,5222.68017578125
2024-05-13,184.68020629882812,186.57000732421875,167.7534942626953,406.5852966308594,171.88999938964844,5221.419921875
2024-05-14,185.8203582763672,187.07000732421875,168.9436798095703,409.3763427734375,177.5500030517578,5246.68017578125
2024-05-15,188.09066772460938,185.99000549316406,171.09588623046875,416.5338439941406,173.99000549316406,5308.14990234375
2024-05-16,188.20960998535156,183.6300048828125,172.752197265625,414.4762268066406,174.83999633789062,5297.10009765625
2024-05-17,188.23934936523438,184.6999969482422,174.61679077148438,413.7082824707031,177.4600067138672,5303.27001953125
2024-05-20,189.39932250976562,183.5399932861328,175.4697265625,418.7588806152344,174.9499969482422,5308.1298828125
2024-05-21,190.69808959960938,183.14999389648438,176.39212036132812,422.4016418457031,186.60000610351562,5321.41015625
2024-05-22,189.26052856445312,183.1300048828125,174.93414306640625,423.8587341308594,180.11000061035156,5307.009765625
2024-05-23,185.2750701904297,181.0500030517578,172.1273651123047,420.3931884765625,173.74000549316406,5267.83984375
2024-05-24,188.3484344482422,180.75,173.5555419921875,423.5042724609375,179.24000549316406,5304.72021484375
2024-05-28,188.35836791992188,182.14999389648438,174.9540252685547,423.661865234375,176.75,5306.0400390625
2024-05-29,188.65576171875,182.02000427246094,174.45809936523438,422.5296630859375,176.19000244140625,5266.9501953125
2024-05-30,189.6471710205078,179.32000732421875,170.69918823242188,408.2539978027344,178.7899932861328,5235.47998046875
2024-05-31,190.59896850585938,176.44000244140625,171.08599853515625,408.7068786621094,178.0800018310547,5277.509765625
2024-06-03,192.36366271972656,178.33999633789062,171.75050354003906,407.1217346191406,176.2899932861328,5283.39990234375
2024-06-04,192.68092346191406,179.33999633789062,172.36538696289062,409.6322937011719,174.77000427246094,5291.33984375
2024-06-05,194.18785095214844,181.27999877929688,173.9721221923828,417.4494934082031,175.0,5354.02978515625
2024-06-06,192.80979919433594,185.0,175.28128051757812,417.9515686035156,177.94000244140625,5352.9599609375
2024-06-07,195.19908142089844,184.3000030517578,173.0299072265625,417.2919616699219,177.47999572753906,5346.990234375
2024-06-10,191.46145629882812,187.05999755859375,173.77459716796875,421.24969482421875,173.7899932861328,5360.7900390625
